system:time_start,Sprawl_ET_mean,Control_ET_mean
2016-08-20,12.324626865671643,12.458203125
2016-08-28,10.816666666666668,11.373828125
2016-09-05,12.236069651741294,11.862109375000001
2016-09-13,10.674626865671643,10.729296875000003
2016-09-21,8.12860696517413,8.451953125000001
2016-09-29,6.314676616915423,6.135546875
2016-10-07,6.580348258706468,7.603515625000001
2016-10-15,5.472139303482588,5.800000000000001
2016-10-23,5.294278606965175,5.589843750000001
2016-10-31,3.805223880597015,3.9644531250000004
2016-11-08,3.496766169154229,3.581640625
2016-11-16,3.355721393034826,3.4816406250000003
2016-11-24,3.2420398009950246,3.4339843750000005
2016-12-02,2.0330845771144284,2.081640625
2016-12-10,2.206716417910448,2.229296875
2016-12-18,2.3582089552238807,2.2972656250000005
2016-12-26,1.3111940298507465,1.3578125
2017-01-01,1.9629353233830849,2.2457031250000004
2017-01-09,2.248258706467662,2.635546875
2017-01-17,3.7776119402985073,4.4710937500000005
2017-01-25,2.444029850746269,2.6457031250000003
2017-02-02,3.3079601990049747,3.354296875
2017-02-10,3.385323383084577,3.7238281250000003
2017-02-18,5.5820895522388065,5.748828125
2017-02-26,5.148507462686568,5.4828125
2017-03-06,7.175621890547264,7.9
2017-03-14,8.016666666666667,8.771484375
2017-03-22,9.145522388059701,9.273437499999998
2017-03-30,12.434825870646765,12.081640625000002
2017-04-07,12.655721393034828,10.947656250000001
2017-04-15,11.650746268656716,10.881640625000001
2017-04-23,10.965174129353233,11.554296875
2017-05-01,14.523134328358209,14.792578125
2017-05-09,14.838308457711442,14.445703125
2017-05-17,16.71766169154229,15.209375000000001
2017-05-25,20.993781094527368,20.242968750000003
2017-06-02,18.67462686567164,18.066796874999998
2017-06-10,21.37213930348259,18.225
2017-06-18,17.43084577114428,17.038671875000002
2017-06-26,16.818407960199007,16.03125
2017-07-04,14.355223880597016,11.799609375
2017-07-12,16.311691542288557,16.898046875
2017-07-20,15.010945273631844,15.15
2017-07-28,14.358457711442787,14.148437500000002
2017-08-05,12.82412935323383,13.675
2017-08-13,12.45547263681592,13.40859375
2017-08-21,13.51318407960199,14.49140625
2017-08-29,11.641044776119402,11.859375
2017-09-06,10.156467661691543,10.079687500000002
2017-09-14,9.799004975124378,9.220312500000002
2017-09-22,9.326616915422886,9.563281250000001
2017-09-30,7.475373134328358,6.953125000000001
2017-10-08,7.130099502487562,7.461328125
2017-10-16,6.091293532338309,6.251171875
2017-10-24,5.093283582089552,5.38984375
2017-11-01,3.601243781094527,3.854296875
2017-11-09,3.2196517412935326,3.5
2017-11-17,3.6753731343283587,4.033984375
2017-11-25,2.3417910447761194,2.523828125
2017-12-03,2.245024875621891,2.4000000000000004
2017-12-11,1.5186567164179106,1.6
2017-12-19,2.1776119402985077,2.2339843750000004
2017-12-27,1.5228855721393035,1.7000000000000002
2018-01-01,2.745522388059702,2.9339843750000005
2018-01-09,2.5004975124378115,2.623828125
2018-01-17,2.5004975124378115,2.623828125
2018-01-25,3.075124378109453,3.233984375
2018-02-02,3.1126865671641792,3.333984375
2018-02-10,3.290796019900498,3.6578125000000004
2018-02-18,3.888308457711443,4.215625
2018-02-26,4.466169154228856,4.681640625000001
