system:time_start,Sprawl_Zone_Core,Control_Zone,Sprawl_North,Sprawl_South,Sprawl_East,Sprawl_West
"May 28, 2020",0.676,0.664,0.446,0.44,0.303,0.735
"May 31, 2020",0.665,0.647,0.37,0.466,0.211,0.73
"May 31, 2020",0.663,0.645,0.371,0.465,0.214,0.728
"Jun 22, 2020",0.671,0.708,0.184,0.43,-0.139,0.685
"Jun 25, 2020",0.647,0.645,0.322,0.435,0.095,0.669
"Jun 25, 2020",0.635,0.632,0.355,0.429,0.172,0.657
"Jul 5, 2020",0.667,0.654,0.382,0.441,0.186,0.674
"Jul 20, 2020",0.56,,0.131,0.395,0.188,0.517
"Jul 30, 2020",,0.523,,,,
"Aug 9, 2020",0.393,0.401,0.201,0.337,0.094,0.431
"Aug 9, 2020",0.386,0.393,0.209,0.314,0.111,0.423
"Aug 11, 2020",0.362,0.377,0.205,0.293,0.098,0.411
"Sep 13, 2020",0.454,0.65,0.373,0.37,0.241,0.721
"Sep 13, 2020",0.456,0.659,0.366,0.372,0.22,0.73
"Sep 15, 2020",0.402,0.58,0.508,0.335,0.327,0.62
"Sep 15, 2020",0.399,0.574,0.505,0.333,0.494,0.616
"Sep 18, 2020",0.461,0.647,0.372,0.401,0.244,0.714
"Sep 18, 2020",0.473,0.683,0.375,0.395,0.208,0.749
"Sep 20, 2020",0.432,0.619,0.347,0.343,0.218,0.675
"Nov 4, 2020",0.845,0.804,0.422,0.565,0.188,0.849
"Nov 4, 2020",0.843,0.801,0.411,0.562,0.174,0.846
"Nov 7, 2020",0.772,0.74,0.477,0.519,0.297,0.767
"Dec 17, 2020",0.809,0.764,0.399,0.537,0.177,0.766
"Dec 17, 2020",0.777,0.722,0.397,0.518,0.221,0.726
"Dec 19, 2020",0.573,0.691,0.341,0.366,0.679,0.29
"Dec 19, 2020",0.561,0.667,0.339,0.383,0.666,0.3
"Dec 24, 2020",0.826,0.764,0.29,0.505,0.017,0.766
"Dec 24, 2020",0.808,0.736,0.483,0.484,0.126,0.744
"Dec 27, 2020",0.827,0.754,0.365,0.595,0.154,0.771
"Dec 27, 2020",0.826,0.764,0.362,0.593,0.162,0.77
"Feb 27, 2021",0.703,0.666,0.356,0.455,0.141,0.667
"Feb 27, 2021",0.702,0.666,0.348,0.447,0.119,0.665
"Mar 9, 2021",0.43,0.673,0.608,0.341,0.447,0.36
"Mar 9, 2021",0.426,0.67,0.63,0.337,0.58,0.357
"Mar 19, 2021",0.219,0.711,0.296,,0.211,0.285
"Mar 19, 2021",0.172,0.711,0.293,,0.21,0.281
"Mar 29, 2021",0.46,0.718,0.467,0.358,0.267,0.392
"Mar 29, 2021",0.452,0.713,0.458,0.337,0.268,0.393
"Apr 18, 2021",,0.712,,,,
"Apr 18, 2021",,0.714,,,,
"Apr 23, 2021",0.503,0.734,0.501,0.372,0.296,0.449
"Apr 23, 2021",0.502,0.732,0.501,0.371,0.3,0.447
"Apr 26, 2021",0.516,,0.525,0.381,0.352,0.46
"May 31, 2021",0.422,0.837,0.551,0.356,0.351,0.724
"May 31, 2021",0.394,0.83,0.557,0.336,0.376,0.721
"Jun 5, 2021",0.406,0.842,0.509,0.365,0.299,0.724
"Jun 5, 2021",0.406,0.84,0.515,0.366,0.312,0.722
"Jul 17, 2021",0.359,0.803,0.522,0.319,0.321,0.282
"Jul 17, 2021",0.359,0.759,0.507,0.319,0.38,0.289
"Jul 20, 2021",0.353,0.784,0.285,0.321,0.118,0.271
"Jul 20, 2021",0.36,0.762,0.397,0.342,0.215,0.274
"Jul 22, 2021",0.37,0.766,0.25,0.32,-0.103,0.273
"Jul 22, 2021",0.376,0.722,0.458,0.339,0.295,0.296
"Aug 11, 2021",0.396,,0.323,0.354,0.27,0.355
"Sep 5, 2021",0.427,0.719,0.507,0.343,0.299,0.28
"Sep 5, 2021",0.42,0.694,0.493,0.337,0.312,0.279
"Sep 8, 2021",0.422,0.745,0.44,0.358,0.22,0.284
"Sep 8, 2021",0.423,0.748,0.426,0.359,0.185,0.284
"Sep 18, 2021",0.141,0.305,-0.004,0.239,0.211,0.209
"Sep 18, 2021",0.136,0.303,-0.007,0.251,0.211,0.208
"Oct 3, 2021",0.451,0.741,0.503,0.436,0.327,0.319
"Oct 3, 2021",0.449,0.738,0.5,0.433,0.324,0.318
"Nov 2, 2021",0.467,0.768,0.504,0.425,0.339,0.349
"Nov 9, 2021",0.416,0.702,0.255,0.263,0.257,0.222
"Nov 17, 2021",0.428,0.733,0.453,0.371,0.278,0.304
"Nov 22, 2021",0.433,0.731,0.419,0.378,0.236,0.304
"Nov 22, 2021",0.426,0.734,0.413,0.363,0.235,0.308
"Dec 2, 2021",0.439,0.722,0.336,0.393,0.137,0.284
"Dec 2, 2021",0.439,0.721,0.341,0.383,0.141,0.284
"Dec 4, 2021",0.423,0.711,0.395,0.361,0.229,0.284
"Dec 4, 2021",0.422,0.709,0.397,0.389,0.237,0.284
"Dec 9, 2021",0.412,0.747,0.562,0.401,0.374,0.295
"Jan 13, 2022",0.396,0.744,0.137,0.371,-0.13,0.264
"Jan 13, 2022",0.39,0.728,0.189,0.359,-0.07,0.257
"Jan 31, 2022",0.372,0.719,0.37,0.355,0.278,0.265
"Feb 17, 2022",0.329,0.67,0.509,0.294,0.495,0.262
"Feb 25, 2022",0.36,0.74,0.312,0.339,0.197,0.252
"Feb 25, 2022",0.359,0.739,0.306,0.333,0.189,0.251
"Feb 27, 2022",0.344,0.731,0.271,0.318,0.158,0.247
"Feb 27, 2022",0.343,0.731,0.264,0.317,0.147,0.246
"Mar 17, 2022",0.378,0.799,0.34,0.344,0.213,0.258
"Mar 17, 2022",0.375,0.785,0.343,0.34,0.224,0.256
"Mar 19, 2022",0.374,0.764,0.352,0.311,0.26,0.239
"Mar 19, 2022",0.373,0.764,0.348,0.31,0.253,0.238
"Mar 24, 2022",0.361,0.747,0.377,0.307,0.294,0.243
"Mar 24, 2022",0.357,0.735,0.374,0.303,0.296,0.241
"Apr 16, 2022",0.387,0.811,0.477,0.325,0.367,0.287
"Apr 26, 2022",0.321,0.857,0.429,0.345,0.363,0.322
"May 8, 2022",0.308,0.862,0.366,0.349,0.18,0.357
"May 8, 2022",0.31,0.852,0.381,0.35,0.218,0.358
"May 18, 2022",0.278,0.833,0.418,0.307,0.314,0.317
"Jun 15, 2022",0.254,0.779,0.391,0.3,0.277,0.336
"Jun 17, 2022",0.243,0.685,0.382,0.279,0.32,0.312
"Jun 20, 2022",0.249,0.713,0.332,0.293,0.224,0.338
"Jun 22, 2022",0.218,0.697,0.343,0.267,0.254,0.319
"Jun 22, 2022",0.225,0.667,0.357,0.268,0.241,0.32
"Jul 10, 2022",0.183,0.528,0.25,0.261,0.097,0.302
"Jul 10, 2022",0.186,0.519,0.195,0.259,-0.1,0.3
"Jul 15, 2022",,,-0.051,0.283,-0.007,0.055
"Aug 9, 2022",,,,0.028,,
"Aug 9, 2022",,,,0.029,,
"Aug 11, 2022",0.14,0.36,0.097,0.208,-0.011,0.235
